Number,Concept
1,Accordion
2,Airplane
3,Alligator
4,Anchor
5,Ant
6,Apple
7,Arm
8,Arrow
9,Artichoke
10,Ashtray
11,Asparagus
12,Axe
13,Baby carriage
14,Ball
15,Balloon
16,Banana
17,Barn
18,Barrel
19,Baseball bat
20,Basket
21,Bear
22,Bed
23,Bee
24,Beetle
25,Bell
26,Belt
27,Bicycle
28,Bird
29,Blouse
30,Book
31,Boot
32,Bottle
33,Bow
34,Bowl
35,Box
36,Bread
37,Broom
38,Brush
39,Bus
40,Butterfly
41,Button
42,Cake
43,Camel
44,Candle
45,Cannon
46,Cap
47,Car
48,Carrot
49,Cat
50,Caterpillar
51,Celery
52,Chain
53,Chair
54,Cherry
55,Chicken
56,Chisel
57,Church
58,Cigar
59,Cigarette
60,Clock
61,Clothespin
62,Cloud
63,Clown
64,Coat
65,Comb
66,Corn
67,Couch
68,Cow
69,Crown
70,Cup
71,Deer
72,Desk
73,Dog
74,Doll
75,Donkey
76,Door
77,Doorknob
78,Dress
79,Dresser
80,Drum
81,Duck
82,Eagle
83,Ear
84,Elephant
85,Envelope
86,Eye
87,Fence
88,Finger
89,Fish
90,Flag
91,Flower
92,Flute
93,Fly
94,Foot
95,Football
96,Football helmet
97,Fork
98,Fox
99,French horn
100,Frog
101,Frying pan
102,Garbage can
103,Giraffe
104,Glass
105,Glasses
106,Glove
107,Goat
108,Gorilla
109,Grapes
110,Grasshopper
111,Guitar
112,Gun
113,Hair
114,Hammer
115,Hand
116,Hanger
117,Harp
118,Hat
119,Heart
120,Helicopter
121,Horse
122,House
123,Iron
124,Ironing board
125,Jacket
126,Kangaroo
127,Kettle
128,Key
129,Kite
130,Knife
131,Ladder
132,Lamp
133,Leaf
134,Leg
135,Lemon
136,Leopard
137,Lettuce
138,Light bulb
139,Light switch
140,Lion
141,Lips
142,Lobster
143,Lock
144,Mitten
145,Monkey
146,Moon
147,Motorcycle
148,Mountain
149,Mouse
150,Mushroom
151,Nail
152,Nail file
153,Necklace
154,Needle
155,Nose
156,Nut
157,Onion
158,Orange
159,Ostrich
160,Owl
161,Paintbrush
162,Pants
163,Peach
164,Peacock
165,Peanut
166,Pear
167,Pen
168,Pencil
169,Penguin
170,Pepper
171,Piano
172,Pig
173,Pineapple
174,Pipe
175,Pitcher
176,Pliers
177,Plug
178,Pocketbook
179,Pot
180,Potato
181,Pumpkin
182,Rabbit
183,Raccoon
184,Record player
185,Refrigerator
186,Rhinoceros
187,Ring
188,Rocking chair
189,Roller skate
190,Rolling pin
191,Rooster
192,Ruler
193,Sailboat
194,Saltshaker
195,Sandwich
196,Saw
197,Scissors
198,Screw
199,Screwdriver
200,Sea horse
201,Seal
202,Sheep
203,Shirt
204,Shoe
205,Skirt
206,Skunk
207,Sled
208,Snail
209,Snake
210,Snowman
211,Sock
212,Spider
213,Spinning wheel
214,Spool of thread
215,Spoon
216,Squirrel
217,Star
218,Stool
219,Stove
220,Strawberry
221,Suitcase
222,Sun
223,Swan
224,Sweater
225,Swing
226,Table
227,Telephone
228,Television
229,Tennis racket
230,Thimble
231,Thumb
232,Tie
233,Tiger
234,Toaster
235,Toe
236,Tomato
237,Toothbrush
238,Top
239,Traffic light
240,Train
241,Tree
242,Truck
243,Trumpet
244,Turtle
245,Umbrella
246,Vase
247,Vest
248,Violin
249,Wagon
250,Watch
251,Watering can
252,Watermelon
253,Well
254,Wheel
255,Whistle
256,Windmill
257,Window
258,Wineglass
259,Wrench
260,Zebra
